"","gene","B cells","ILC","Megakaryocytes/platelets","Monocytes","T cells"
"1","A1BG",1.70648816229361,1.62126663675075,0,7.42541363300408,0.942491222122911
"2","A1BG-AS1",0,0,0,0.022032329623388,1.46324933412838
"3","A2M-AS1",0,0,0,0,0.0101810530948785
"4","AAAS",0,1.79281287499272,0,2.26530708178648,4.23455584115374
"5","AACS",0,0,0,0,2.13743854609335
"6","AAED1",5.41711903260572,0.350331786076653,0,0.00311664369163607,5.65101111422786
"7","AAGAB",0.344448277178502,0.408425969777661,0,0.0493190131589477,0.0440573443805382
"8","AAK1",0.0293853209028576,0.192980863830107,0,0.00286044047821661,0.403550814468305
"9","AAMDC",0,0,0,3.24369613652023,0.16713448901203
"10","AAMP",0.0191887373315554,1.60722467676687,0,0.102692497361142,0.0309167884545061
"11","AAR2",0.146244906228,0.182208003579668,0,0.177628543449114,10.692330048328
"12","AARS",0,0,0,2.38886088049199,2.92984308045708
"13","AARS2",0,0,0,0,0.423248189621645
"14","AARSD1",0,0,0,0,0.345031843809113
"15","AASDH",0,0,0,0.80186087154752,3.32878975434743
"16","AASDHPPT",2.53174085549879,1.34436787365322,0,0.368561537002299,0.714750061765287
"17","AATBC",0,0,0,0.815892640537287,0
"18","AATF",2.1616051702804,1.03289007387249,0,0.105455692958913,0.71295166174424
"19","AATK",0,0,0,1.62400402582378,0
"20","ABAT",0,0,0,1.39078857236526,0.76480315371227
"21","ABCA1",5.87270571503838,0,0,0.0439303445302324,0.0829147668733757
"22","ABCA2",0,5.85112049388374,0,0,0.123707518676998
"23","ABCA3",0,0,0,0,0.463008984298658
"24","ABCA5",0,0.732194487750397,0,0,0.514358636622043
"25","ABCA7",0.925037850906243,2.14397203955726,0,4.98200503730071,0.614398781303253
"26","ABCB1",0,3.95583899904872,0,0,2.22207967461117
"27","ABCB10",0,0,0,0.600724203195147,2.69228605721796
"28","ABCB4",0.0444130602011307,0,0,0,0
"29","ABCB7",1.36564650744168,0.0236582461900024,0,1.9958183573521,0.181968330011431
"30","ABCB8",0,0.00871647638994906,0,1.94122273192093,0.352951294905941
"31","ABCB9",0,0,0,0,0.167227780282877
"32","ABCC1",0,0,0,0.100536418189163,0.117327603947846
"33","ABCC10",0,0,0,5.85895442434823,2.59592604350767
"34","ABCC3",0,0,1.48663185749867,0.0556771463450434,0
"35","ABCC4",0,0,0.831765490472933,0.0820796061917843,0.918874486628026
"36","ABCC5",0,0.717929350216842,0,1.32608964820738,1.99809812737453
"37","ABCC6",0,0,0,0.143369730394871,0
"38","ABCD1",0,0,0,0.927837644622693,1.26571613909171
"39","ABCD2",0,0,0,0,1.72057867938451
"40","ABCD3",0,5.21121820951814,0,1.32374536311561,0.113215882717318
"41","ABCD4",0.116975323693475,0.572355296297097,0,3.65770311342283,0.0210994437463218
"42","ABCE1",0.104277546193943,1.73593707451112,0,4.59776497904332e-05,1.35240400397049
"43","ABCF1",1.38803908612305,1.17500185496402,0,0.0728631847587127,0.854548839318373
"44","ABCF2",0,0,0,0.105094080894272,0.595235205530833
"45","ABCF3",0,0.510684410907114,0,0.356211723918516,2.09513702451572
"46","ABCG1",17.0314037912771,0,0,0,1.96864083439222
"47","ABHD10",0,0.0039651692527505,0,2.64580362759294e-05,0.298330073513324
"48","ABHD11",0,0,0,1.33368121282261,0.0242532058915721
"49","ABHD12",0.00095562633663702,0.16369419661068,0,1.30232906176011,1.14363696247457
"50","ABHD13",1.54970518240207,1.43206144674624,0,2.10842204897283,0.117963130618075
"51","ABHD14A",0,0,0,0,0.00148641565678769
"52","ABHD14B",0.766766486344765,0.305209859565553,0,6.88582318078392,2.09657479134614
"53","ABHD15",0.0208888881858481,7.72791006657635,0,0,1.98294228703183
"54","ABHD16A",0.36581765661844,0.0647575998133001,0.71084918033018,0.205939158359331,0.0422698637623335
"55","ABHD17A",1.05082608458587,2.31848856461627,0,0.002880046459297,0.784922033885716
"56","ABHD17B",0.194720230533928,0.317952289121936,0,0.0761502225775667,0.99482774522758
"57","ABHD18",0,1.60025123763088,0,0.0127344636429556,0.503974347464687
"58","ABHD2",0,0.687684351312649,0,1.31890259887723,0.872052633671302
"59","ABHD3",1.57213224543523,1.43093355518996,0,0.787518045447294,1.03458862662846
"60","ABHD4",0,0,0,0.112645347266851,2.54177816992834
"61","ABHD5",0,0.0266035680480071,0,1.33125231614319,0.488582076000143
"62","ABHD6",0,0,0,3.05084242485036,0.35947855306767
"63","ABHD8",0,0,0,3.30270124766861,0.899896631738776
"64","ABI1",0.410330414229636,0.0187512210799089,2.32620837214621,0.0469994892242994,1.16753194873306
"65","ABI2",0,0.551547569526149,0,0.670902588411748,0.227486716331724
"66","ABI3",0,0.0403683866804267,0,8.13099571913597,3.65101319663572
"67","ABL1",0,0,0,0.773173775243075,0.441292821982868
"68","ABL2",0,0,0,0.172809162712796,0.010342708481573
"69","ABLIM1",3.23556626094398,0.0837280103753234,0,0,0.147805324645497
"70","ABLIM3",0,0,0.0685581963320826,0,0
"71","ABO",0,0,0,0,0.568587693197113
"72","ABR",0,0.0633379383417047,0,0.239910004281469,0.0983781632636277
"73","ABRACL",1.86539359688155,0.0959766916071062,1.37329438167543,0.0780391833971334,3.62358964711076
"74","ABT1",0.960805055725278,0.849116465123969,0,2.53579248347772,1.8416763843728
"75","ABTB1",2.58571139235417,0.0341151047683285,2.63483131955128,0.121351513609952,0.0146717784430025
"76","AC002116.7",0,0,0,0,2.37042927432899
"77","AC002117.1",2.18231985267117,3.01983004181512,0,0.00926192990017148,3.24521203334196
"78","AC002310.12",0,0,0,0,4.23791270124096
"79","AC002451.3",0,0,0,3.02981135544202,0
"80","AC002467.7",0,0,0,0,4.89436104392698
"81","AC003075.4",0,0,0,9.75901463304939,0.0568499716977179
"82","AC004069.2",0,0,0,1.52613524103447,0
"83","AC004556.1",0,0,0,0.0029026963225012,0.178922032004009
"84","AC004951.6",0,0,0,0.0137153877792473,0.1742300471164
"85","AC005037.3",0,0,0,0,0.0985055359929808
"86","AC005253.2",0,0,0,0,0.20830844517472
"87","AC005944.2",0,0,0,0,0.0471467199997131
"88","AC006129.2",0.0485236324025316,4.00861852541714,0,0,2.34105770519749
"89","AC006369.2",0,6.18600728082083,0,0,0.00257701218780394
"90","AC007246.3",0,0,0,0.690167170009002,0.0238196460591438
"91","AC007325.4",0,0,0,0,0.0534584063936591
"92","AC007383.3",0,0,0,0,0.624958762822955
"93","AC008079.10",0,0,0,0,0.00363961455631607
"94","AC009133.12",0,0,0,0,0.341735596809451
"95","AC009133.17",0,0,0,0,0.432289706768738
"96","AC009299.3",0,0,0,0,0.156988387535733
"97","AC009403.2",0,0,0,1.19746871567965,1.06864071664544
"98","AC009501.4",0,0,0,0,0.0516034950353525
"99","AC009506.1",0,0,0,0.495464286215287,0
"100","AC009948.5",0,0,0,2.95410337158245,1.41391830773778
"101","AC009961.3",0,0,0,0,0.294254499308546
"102","AC010226.4",0,0,0,5.69447736456525,0.0485113672282609
"103","AC010642.1",0,0,0,0,0.00411345150619157
"104","AC010761.8",0,0,0,0,0.0135894495640499
"105","AC010883.5",0,0,0,0,1.65442316163383
"106","AC011899.9",0,0,0,0.0294594378949414,0
"107","AC012358.8",0,0,0,0,4.263397001462
"108","AC013264.2",0,0,0,0,0.0180913933978548
"109","AC013461.1",0,0,0,1.16120007893062,1.29128500739355
"110","AC016831.7",0.329737201191338,0,0,0,0.0122166911043731
"111","AC017002.1",0,0,0,0,3.31363726387104
"112","AC018816.3",0,0,0,0,1.43698801133454
"113","AC020571.3",0,0,0,0,8.11997586718597
"114","AC021188.4",0,0,0,0,1.98324231502011
"115","AC022182.1",0,0,0,0,0.165775877619494
"116","AC022182.3",0,0,0,0.489364465934284,0.612508090757329
"117","AC023590.1",0,0,0,0,1.01146316989472
"118","AC025171.1",0,0,0,0.199525033108648,3.20075330065593
"119","AC025335.1",0,0,0,0,0.216665378338945
"120","AC026471.6",0,0,0,0,0.00963249785725977
"121","AC058791.1",0,0,0,5.74504363833688,0.0147184197066219
"122","AC062017.1",0,0,0,0.000382204444220188,3.6765933810461
"123","AC064834.2",0,0,0,0,1.64898116337727
"124","AC073254.1",0,0,0,0,0.304112739024124
"125","AC074117.10",0,0,0,0,0.222206159378586
"126","AC074289.1",0,0,0,7.8460888999854,0.945174868887378
"127","AC078883.3",0,0,0,0,0.269472473794495
"128","AC079630.4",0,0,0,0.398801516663606,0
"129","AC079767.4",0.0979260540575136,0,0,0,0
"130","AC079807.2",0,0,0,0,0.947381550752605
"131","AC079922.3",0,2.61891216159242,0,3.488928871434,1.46034211238685
"132","AC091729.9",0,0,0,0.149358189806668,0.154877050841576
"133","AC091814.2",0,0,0,0.790998085258266,0
"134","AC092580.4",0,0.0376507167953654,0,0,0.0660223228079846
"135","AC093323.3",0,0.253696234935103,0,0.534129600293728,0.0582554124917184
"136","AC093388.3",0,0,0,0,0.776804720818095
"137","AC093495.4",0,0,0,0,0.516570974958322
"138","AC093609.1",0,0,0,0,6.07831895008727
"139","AC093627.10",0,0,0,3.83223342158252,0
"140","AC093627.8",0,0,2.49971101443076,0,0
"141","AC093673.5",0,0,0,0.362293493374016,0.0230689150951568
"142","AC093818.1",0.502190201048212,0,0,0,0.497694238862555
"143","AC097713.4",0,0,0,0,1.67634280214383
"144","AC103563.8",0,0,0,0,0.411344875619221
"145","AC104532.4",0,0,0,0,0.0665520913591125
"146","AC104653.1",0,0,0,0,0.113353005473178
"147","AC104820.2",0,1.82653083913715,0,0,2.63221479728058
"148","AC108488.4",0,0,0,0,1.85936358176308
"149","AC109826.1",0,0,0,0,3.04664313791223
"150","AC113189.5",0,0,0,3.59982000210928,3.40103226493127
"151","AC114271.2",0,0,0,0,0.0164865479976793
"152","AC116366.6",0,0,0,0.358610927919049,1.15240650705466
"153","AC131056.3",0,0,0,0,7.58598586379725
"154","AC133644.2",0,0,0,0,3.28871882061516
"155","AC137932.4",0,0,0,0,0.171687335404359
"156","AC137934.1",0,0,0,0,0.0713100481279898
"157","AC138969.4",0,0,0,0,0.158951919178222
"158","AC142472.6",0,0,0,0,0.57426415034313
"159","AC142528.1",0,0,0,0,2.97297056661444
"160","AC144831.1",0,0,0,0.072312855248626,0
"161","AC145124.2",0,0,0,0,0.979109824322902
"162","AC147651.4",0,0,0,0,0.156505361180521
"163","AC159540.1",0,0,0,0,0.00242117476146128
"164","AC233755.1",0.158583696260384,0,0,0,0
