source	target
CHEMBL.COMPOUND:CHEMBL685	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL625	MONDO:0100192
CHEMBL.COMPOUND:CHEMBL625	MONDO:0002331
CHEMBL.COMPOUND:CHEMBL625	MONDO:0005240
CHEMBL.COMPOUND:CHEMBL625	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL625	UMLS:C0266292
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0001529
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0015909
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0002280
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL1483	ORPHANET:108997
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0010480
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0012197
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005420
CHEMBL.COMPOUND:CHEMBL521	MONDO:0100192
CHEMBL.COMPOUND:CHEMBL521	MONDO:0008114
CHEMBL.COMPOUND:CHEMBL521	MONDO:0009468
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002280
CHEMBL.COMPOUND:CHEMBL521	MONDO:0003019
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002679
CHEMBL.COMPOUND:CHEMBL521	MONDO:0007915
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011520
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001531
CHEMBL.COMPOUND:CHEMBL521	MONDO:0010811
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005468
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005101
CHEMBL.COMPOUND:CHEMBL521	MESH:D006935
CHEMBL.COMPOUND:CHEMBL521	MONDO:0003709
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012586
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005015
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001386
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012585
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002049
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005010
CHEMBL.COMPOUND:CHEMBL521	MONDO:0009410
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002127
CHEMBL.COMPOUND:CHEMBL521	MESH:D046628
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002203
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002450
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011924
CHEMBL.COMPOUND:CHEMBL521	MONDO:0054849
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002491
CHEMBL.COMPOUND:CHEMBL521	MONDO:0010788
CHEMBL.COMPOUND:CHEMBL521	MONDO:0013671
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005068
CHEMBL.COMPOUND:CHEMBL521	UMLS:C2987469
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005383
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011309
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005265
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005240
CHEMBL.COMPOUND:CHEMBL521	MONDO:0006875
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002331
CHEMBL.COMPOUND:CHEMBL521	MONDO:0008555
CHEMBL.COMPOUND:CHEMBL521	MONDO:0004849
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005002
CHEMBL.COMPOUND:CHEMBL521	MONDO:0006665
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012369
CHEMBL.COMPOUND:CHEMBL521	MONDO:0004425
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012584
CHEMBL.COMPOUND:CHEMBL521	MONDO:0006730
CHEMBL.COMPOUND:CHEMBL521	MONDO:0006642
CHEMBL.COMPOUND:CHEMBL521	DOID:8639
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001493
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001155
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012840
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001657
CHEMBL.COMPOUND:CHEMBL521	MONDO:0010743
CHEMBL.COMPOUND:CHEMBL521	ORPHANET:108997
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012203
CHEMBL.COMPOUND:CHEMBL521	MONDO:0007263
CHEMBL.COMPOUND:CHEMBL521	ORPHANET:181396
CHEMBL.COMPOUND:CHEMBL521	MONDO:0002243
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012775
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005139
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012610
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012384
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011138
CHEMBL.COMPOUND:CHEMBL521	ORPHANET:104012
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012147
CHEMBL.COMPOUND:CHEMBL521	MONDO:0008187
CHEMBL.COMPOUND:CHEMBL521	UMLS:C0266292
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012010
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012845
CHEMBL.COMPOUND:CHEMBL521	ORPHANET:181399
CHEMBL.COMPOUND:CHEMBL521	MONDO:0018473
CHEMBL.COMPOUND:CHEMBL521	MONDO:0004242
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012788
CHEMBL.COMPOUND:CHEMBL521	MONDO:0007264
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011817
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012628
CHEMBL.COMPOUND:CHEMBL521	MONDO:0013765
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011751
CHEMBL.COMPOUND:CHEMBL521	ORPHANET:101952
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012009
CHEMBL.COMPOUND:CHEMBL521	MONDO:0010120
CHEMBL.COMPOUND:CHEMBL521	MONDO:0044316
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012011
CHEMBL.COMPOUND:CHEMBL521	MONDO:0010331
CHEMBL.COMPOUND:CHEMBL521	UMLS:C1880931
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012831
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001208
