source	target
CHEMBL.COMPOUND:CHEMBL685	MONDO:0005746
CHEMBL.COMPOUND:CHEMBL625	MONDO:0005746
CHEMBL.COMPOUND:CHEMBL521	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL521	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011827
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005178
CHEMBL.COMPOUND:CHEMBL521	MONDO:0005185
CHEMBL.COMPOUND:CHEMBL521	MONDO:0007704
CHEMBL.COMPOUND:CHEMBL521	MONDO:0008143
CHEMBL.COMPOUND:CHEMBL521	MONDO:0012893
CHEMBL.COMPOUND:CHEMBL521	MONDO:0011923
CHEMBL.COMPOUND:CHEMBL521	MONDO:0024560
CHEMBL.COMPOUND:CHEMBL521	UMLS:C0424755
CHEMBL.COMPOUND:CHEMBL1620522	MONDO:0005247
CHEMBL.COMPOUND:CHEMBL1620522	MONDO:0003781
CHEMBL.COMPOUND:CHEMBL1620522	MONDO:0004277
CHEMBL.COMPOUND:CHEMBL1620522	MONDO:0001039
CHEMBL.COMPOUND:CHEMBL1620522	MONDO:0024330
CHEMBL.COMPOUND:CHEMBL1620522	UMLS:C0153203
CHEMBL.COMPOUND:CHEMBL528	MONDO:0005247
CHEMBL.COMPOUND:CHEMBL528	MONDO:0004277
CHEMBL.COMPOUND:CHEMBL528	MONDO:0009813
CHEMBL.COMPOUND:CHEMBL528	MONDO:0020920
CHEMBL.COMPOUND:CHEMBL528	MONDO:0005249
CHEMBL.COMPOUND:CHEMBL528	MONDO:0004796
CHEMBL.COMPOUND:CHEMBL528	MONDO:0005246
CHEMBL.COMPOUND:CHEMBL528	UMLS:C0153203
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0000607
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0006814
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0008558
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0020283
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004926
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0007915
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004980
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0011520
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0019735
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005101
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0002081
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004553
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004126
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005093
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0043233
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0002771
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004979
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005642
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0018479
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004638
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0010481
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0001713
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0006547
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005083
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0006684
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0006608
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005185
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005328
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0009410
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004967
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0004952
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0009539
CHEMBL.COMPOUND:CHEMBL2106961	MONDO:0005306
