source	target
CHEMBL.COMPOUND:CHEMBL2105191	DOID:1257
CHEMBL.COMPOUND:CHEMBL2105191	DOID:12269
CHEMBL.COMPOUND:CHEMBL2105191	DOID:11711
CHEMBL.COMPOUND:CHEMBL2105191	DOID:11271
CHEMBL.COMPOUND:CHEMBL2105191	DOID:4285
CHEMBL.COMPOUND:CHEMBL2105191	DOID:2177
CHEMBL.COMPOUND:CHEMBL2105191	DOID:9878
CHEMBL.COMPOUND:CHEMBL2105191	UMLS:C3544104
CHEMBL.COMPOUND:CHEMBL2105191	DOID:11248
CHEMBL.COMPOUND:CHEMBL2105191	MONDO:0002243
CHEMBL.COMPOUND:CHEMBL2105191	DOID:0050014
CHEMBL.COMPOUND:CHEMBL1200721	MONDO:0002800
CHEMBL.COMPOUND:CHEMBL1613544	DOID:1257
CHEMBL.COMPOUND:CHEMBL1613544	DOID:12269
CHEMBL.COMPOUND:CHEMBL1613544	DOID:11711
CHEMBL.COMPOUND:CHEMBL1613544	DOID:11271
CHEMBL.COMPOUND:CHEMBL1613544	DOID:4285
CHEMBL.COMPOUND:CHEMBL1613544	DOID:2177
CHEMBL.COMPOUND:CHEMBL1613544	DOID:9878
CHEMBL.COMPOUND:CHEMBL1613544	UMLS:C3544104
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0100192
CHEMBL.COMPOUND:CHEMBL1200777	DOID:9518
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0001106
CHEMBL.COMPOUND:CHEMBL1200777	DOID:11271
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL1200777	DOID:9653
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0010473
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0005009
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0006955
CHEMBL.COMPOUND:CHEMBL1200777	DOID:1257
CHEMBL.COMPOUND:CHEMBL1200777	DOID:12269
CHEMBL.COMPOUND:CHEMBL1200777	DOID:11711
CHEMBL.COMPOUND:CHEMBL1200777	DOID:4285
CHEMBL.COMPOUND:CHEMBL1200777	DOID:2177
CHEMBL.COMPOUND:CHEMBL1200777	DOID:9878
CHEMBL.COMPOUND:CHEMBL1200777	UMLS:C3544104
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005386
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005294
CHEMBL.COMPOUND:CHEMBL2448612	DOID:1042
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL2448612	DOID:0050082
CHEMBL.COMPOUND:CHEMBL2448612	DOID:1257
CHEMBL.COMPOUND:CHEMBL2448612	DOID:12269
CHEMBL.COMPOUND:CHEMBL2448612	DOID:11711
CHEMBL.COMPOUND:CHEMBL2448612	DOID:11271
CHEMBL.COMPOUND:CHEMBL2448612	DOID:4285
CHEMBL.COMPOUND:CHEMBL2448612	DOID:2177
CHEMBL.COMPOUND:CHEMBL2448612	DOID:9878
CHEMBL.COMPOUND:CHEMBL2448612	UMLS:C3544104
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL2448612	DOID:9653
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0013163
CHEMBL.COMPOUND:CHEMBL2448612	DOID:2980
CHEMBL.COMPOUND:CHEMBL2448612	DOID:581
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005240
CHEMBL.COMPOUND:CHEMBL2448612	UMLS:C0266292
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL2105613	DOID:0050082
CHEMBL.COMPOUND:CHEMBL2105613	DOID:1257
CHEMBL.COMPOUND:CHEMBL2105613	DOID:12269
CHEMBL.COMPOUND:CHEMBL2105613	DOID:11711
CHEMBL.COMPOUND:CHEMBL2105613	DOID:11271
CHEMBL.COMPOUND:CHEMBL2105613	DOID:4285
CHEMBL.COMPOUND:CHEMBL2105613	DOID:2177
CHEMBL.COMPOUND:CHEMBL2105613	DOID:9878
CHEMBL.COMPOUND:CHEMBL2105613	UMLS:C3544104
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0016264
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0013163
CHEMBL.COMPOUND:CHEMBL3183524	DOID:2980
CHEMBL.COMPOUND:CHEMBL3183524	DOID:11271
CHEMBL.COMPOUND:CHEMBL3183524	DOID:581
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0005240
CHEMBL.COMPOUND:CHEMBL3183524	UMLS:C0266292
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0005154
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050082
CHEMBL.COMPOUND:CHEMBL189	MONDO:0000605
CHEMBL.COMPOUND:CHEMBL189	DOID:0060057
CHEMBL.COMPOUND:CHEMBL189	DOID:1204
CHEMBL.COMPOUND:CHEMBL189	MONDO:0000771
CHEMBL.COMPOUND:CHEMBL189	DOID:0060498
