source	target
CHEMBL.COMPOUND:CHEMBL2105191	MONDO:0013361
CHEMBL.COMPOUND:CHEMBL1200721	MONDO:0008315
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0002108
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0015074
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0009718
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0010138
CHEMBL.COMPOUND:CHEMBL1544	DOID:12839
CHEMBL.COMPOUND:CHEMBL1544	DOID:757
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0005397
CHEMBL.COMPOUND:CHEMBL1544	MONDO:0005623
CHEMBL.COMPOUND:CHEMBL1613544	MONDO:0007254
CHEMBL.COMPOUND:CHEMBL1613544	MONDO:0021100
CHEMBL.COMPOUND:CHEMBL1613544	MONDO:0011962
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0011374
CHEMBL.COMPOUND:CHEMBL1200777	DOID:2487
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0037748
CHEMBL.COMPOUND:CHEMBL1200777	MONDO:0005010
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0043537
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0007089
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0010422
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011561
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011647
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011743
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011777
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011913
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0012321
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0012344
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0012609
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0012630
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0012631
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0011401
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0014036
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0014265
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0014316
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0007088
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0004975
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0010826
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0000417
CHEMBL.COMPOUND:CHEMBL2105613	HP:0002121
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0006710
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0011996
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0010809
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1201558	DOID:9514
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005647
CHEMBL.COMPOUND:CHEMBL1201558	DOID:10265
CHEMBL.COMPOUND:CHEMBL1201558	DOID:12392
CHEMBL.COMPOUND:CHEMBL1201558	DOID:12021
CHEMBL.COMPOUND:CHEMBL1201558	DOID:14258
CHEMBL.COMPOUND:CHEMBL1201558	DOID:283
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0018935
CHEMBL.COMPOUND:CHEMBL1201558	DOID:10901
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0001394
CHEMBL.COMPOUND:CHEMBL1201558	MESH:D012883
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0002108
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0015074
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005055
CHEMBL.COMPOUND:CHEMBL1201558	DOID:7335
CHEMBL.COMPOUND:CHEMBL1201558	DOID:10038
CHEMBL.COMPOUND:CHEMBL1201558	DOID:10045
CHEMBL.COMPOUND:CHEMBL1201558	DOID:10048
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0000543
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0000544
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0003865
CHEMBL.COMPOUND:CHEMBL1201558	DOID:8197
CHEMBL.COMPOUND:CHEMBL1201558	DOID:4356
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005105
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005012
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005770
CHEMBL.COMPOUND:CHEMBL1201558	DOID:6361
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005086
CHEMBL.COMPOUND:CHEMBL1201558	DOID:6174
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005005
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0005789
CHEMBL.COMPOUND:CHEMBL1201558	DOID:5133
CHEMBL.COMPOUND:CHEMBL1201558	MONDO:0002531
CHEMBL.COMPOUND:CHEMBL1201558	DOID:2412
CHEMBL.COMPOUND:CHEMBL1266	MONDO:0006004
CHEMBL.COMPOUND:CHEMBL1266	MONDO:0005961
CHEMBL.COMPOUND:CHEMBL853	DOID:524
CHEMBL.COMPOUND:CHEMBL853	MONDO:0012268
CHEMBL.COMPOUND:CHEMBL853	DOID:0050507
CHEMBL.COMPOUND:CHEMBL853	DOID:0050510
CHEMBL.COMPOUND:CHEMBL853	DOID:13734
CHEMBL.COMPOUND:CHEMBL853	DOID:6045
CHEMBL.COMPOUND:CHEMBL853	DOID:7498
CHEMBL.COMPOUND:CHEMBL2105133	MONDO:0005642
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050107
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050108
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050110
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050111
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050112
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050113
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050115
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050098
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050099
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050100
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050101
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050102
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050103
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050104
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050106
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0005984
CHEMBL.COMPOUND:CHEMBL3183524	DOID:0050275
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0001628
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0005915
CHEMBL.COMPOUND:CHEMBL3183524	MONDO:0011880
CHEMBL.COMPOUND:CHEMBL189	MONDO:0010473
CHEMBL.COMPOUND:CHEMBL189	MONDO:0005009
