source	target
CHEMBL.COMPOUND:CHEMBL305242	MONDO:0007915
CHEMBL.COMPOUND:CHEMBL2367465	MONDO:0005298
CHEMBL.COMPOUND:CHEMBL2108812	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL846	MONDO:0005520
CHEMBL.COMPOUND:CHEMBL1201605	MONDO:0015909
CHEMBL.COMPOUND:CHEMBL1006	MONDO:0005072
CHEMBL.COMPOUND:CHEMBL1200863	MONDO:0005072
CHEMBL.COMPOUND:CHEMBL671	MONDO:0005072
CHEMBL.COMPOUND:CHEMBL820	MONDO:0005072
CHEMBL.COMPOUND:CHEMBL2109128	MONDO:0005072
CHEMBL.COMPOUND:CHEMBL1006	MONDO:0008380
CHEMBL.COMPOUND:CHEMBL1200863	MONDO:0008380
CHEMBL.COMPOUND:CHEMBL671	MONDO:0008380
CHEMBL.COMPOUND:CHEMBL820	MONDO:0008380
CHEMBL.COMPOUND:CHEMBL2109128	MONDO:0008380
CHEMBL.COMPOUND:CHEMBL1487	MONDO:0005377
CHEMBL.COMPOUND:CHEMBL1487	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL1200879	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL25	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL1201082	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL320876	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL468	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL11359	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL2109128	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL88	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1697788	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL481	MONDO:0001673
CHEMBL.COMPOUND:CHEMBL3182554	MONDO:0001673
CHEMBL.COMPOUND:CHEMBL941	MONDO:0011719
CHEMBL.COMPOUND:CHEMBL1200689	MONDO:0005249
CHEMBL.COMPOUND:CHEMBL1201581	MONDO:0005185
CHEMBL.COMPOUND:CHEMBL1201556	MESH:D012883
CHEMBL.COMPOUND:CHEMBL1201823	MONDO:0005301
CHEMBL.COMPOUND:CHEMBL34259	MONDO:0016367
CHEMBL.COMPOUND:CHEMBL635	MONDO:0016367
CHEMBL.COMPOUND:CHEMBL1201572	MONDO:0016367
CHEMBL.COMPOUND:CHEMBL501867	MONDO:0012817
CHEMBL.COMPOUND:CHEMBL88	MONDO:0012817
CHEMBL.COMPOUND:CHEMBL1738	MONDO:0012817
CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0012817
CHEMBL.COMPOUND:CHEMBL1773	MONDO:0001673
CHEMBL.COMPOUND:CHEMBL88	MONDO:0019340
CHEMBL.COMPOUND:CHEMBL1200689	MONDO:0001999
CHEMBL.COMPOUND:CHEMBL34259	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL1324	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL457547	MONDO:0005657
CHEMBL.COMPOUND:CHEMBL364143	MONDO:0005657
CHEMBL.COMPOUND:CHEMBL744	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL1201576	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1697792	MONDO:0005929
CHEMBL.COMPOUND:CHEMBL741	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL2146126	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL710	MONDO:0010811
CHEMBL.COMPOUND:CHEMBL1201584	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL1200863	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL4079877	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL413	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL1201581	MONDO:0008538
CHEMBL.COMPOUND:CHEMBL1201587	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1201572	MONDO:0005185
CHEMBL.COMPOUND:CHEMBL1201607	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL294199	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL635	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL501867	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL1201576	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL88	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL1697792	MESH:D065446
CHEMBL.COMPOUND:CHEMBL691	MESH:D065446
CHEMBL.COMPOUND:CHEMBL103	MESH:D065446
CHEMBL.COMPOUND:CHEMBL294199	MONDO:0005609
CHEMBL.COMPOUND:CHEMBL294199	MONDO:0021667
CHEMBL.COMPOUND:CHEMBL294199	MONDO:0005015
CHEMBL.COMPOUND:CHEMBL4297142	MONDO:0002026
CHEMBL.COMPOUND:CHEMBL1530	MONDO:0005190
CHEMBL.COMPOUND:CHEMBL3785780	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL997	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL924	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL320876	MONDO:0000430
CHEMBL.COMPOUND:CHEMBL1024	MONDO:0000430
CHEMBL.COMPOUND:CHEMBL1201055	MONDO:0000430
CHEMBL.COMPOUND:CHEMBL1987697	MONDO:0004975
CHEMBL.COMPOUND:CHEMBL1140	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL573	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL140000	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1201581	MONDO:0015274
CHEMBL.COMPOUND:CHEMBL1489	MONDO:0020311
CHEMBL.COMPOUND:CHEMBL1201129	MONDO:0020311
CHEMBL.COMPOUND:CHEMBL820	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1200781	MONDO:0005618
CHEMBL.COMPOUND:CHEMBL545131	MONDO:0005618
CHEMBL.COMPOUND:CHEMBL843	MONDO:0005133
CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1140	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL1064	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL573	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL1140	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL1064	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL573	MONDO:0002277
CHEMBL.COMPOUND:CHEMBL1140	MONDO:0005068
CHEMBL.COMPOUND:CHEMBL1064	MONDO:0005068
CHEMBL.COMPOUND:CHEMBL573	MONDO:0005068
CHEMBL.COMPOUND:CHEMBL467	MONDO:0005098
CHEMBL.COMPOUND:CHEMBL1530	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1747	MONDO:0009061
CHEMBL.COMPOUND:CHEMBL1237055	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL1201159	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL986	MONDO:0007016
CHEMBL.COMPOUND:CHEMBL1487	MONDO:0005439
CHEMBL.COMPOUND:CHEMBL1487	MONDO:0005015
CHEMBL.COMPOUND:CHEMBL1201571	MONDO:0006572
CHEMBL.COMPOUND:CHEMBL139	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL1737	MONDO:0001999
CHEMBL.COMPOUND:CHEMBL3213320	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL85	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL3213320	UMLS:C0221765
CHEMBL.COMPOUND:CHEMBL85	UMLS:C0221765
CHEMBL.COMPOUND:CHEMBL2108812	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL2108812	MONDO:0005101
CHEMBL.COMPOUND:CHEMBL1201149	MONDO:0002046
CHEMBL.COMPOUND:CHEMBL1607273	MONDO:0004979
CHEMBL.COMPOUND:CHEMBL603764	MONDO:0005010
CHEMBL.COMPOUND:CHEMBL320876	MONDO:0005212
CHEMBL.COMPOUND:CHEMBL1024	MONDO:0005212
CHEMBL.COMPOUND:CHEMBL1201589	MONDO:0004979
CHEMBL.COMPOUND:CHEMBL118	MONDO:0005178
CHEMBL.COMPOUND:CHEMBL106	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL136478	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL3182554	MONDO:0008300
CHEMBL.COMPOUND:CHEMBL1201258	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL848	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL2106732	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1417019	MONDO:0018876
CHEMBL.COMPOUND:CHEMBL1090	MONDO:0018876
CHEMBL.COMPOUND:CHEMBL1201576	MONDO:0018876
CHEMBL.COMPOUND:CHEMBL526	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL34259	MONDO:0005492
CHEMBL.COMPOUND:CHEMBL715	MONDO:0004985
CHEMBL.COMPOUND:CHEMBL1716	MONDO:0005492
CHEMBL.COMPOUND:CHEMBL1530	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL843	MONDO:0005015
CHEMBL.COMPOUND:CHEMBL1201577	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL4297919	MONDO:0005383
CHEMBL.COMPOUND:CHEMBL85	MONDO:0005383
CHEMBL.COMPOUND:CHEMBL1678	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL468	MONDO:0004952
CHEMBL.COMPOUND:CHEMBL715	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL2108812	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL501867	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL924	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL641	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL538973	MONDO:0005090
CHEMBL.COMPOUND:CHEMBL1201576	MONDO:0005492
CHEMBL.COMPOUND:CHEMBL2110662	MONDO:0001673
CHEMBL.COMPOUND:CHEMBL1200689	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL941	MONDO:0011996
CHEMBL.COMPOUND:CHEMBL2106589	MONDO:0011996
CHEMBL.COMPOUND:CHEMBL1563	MONDO:0011996
CHEMBL.COMPOUND:CHEMBL2108812	MONDO:0005068
CHEMBL.COMPOUND:CHEMBL2105613	MONDO:0021667
CHEMBL.COMPOUND:CHEMBL1201593	MONDO:0005279
CHEMBL.COMPOUND:CHEMBL1773	MONDO:0002120
CHEMBL.COMPOUND:CHEMBL1201055	MONDO:0002120
CHEMBL.COMPOUND:CHEMBL1201583	MONDO:0002120
CHEMBL.COMPOUND:CHEMBL558598	MONDO:0011122
CHEMBL.COMPOUND:CHEMBL220492	MONDO:0011122
CHEMBL.COMPOUND:CHEMBL220492	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL220492	MONDO:0005347
CHEMBL.COMPOUND:CHEMBL1709	MONDO:0013600
CHEMBL.COMPOUND:CHEMBL1201565	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL1750	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL2103737	MONDO:0006684
CHEMBL.COMPOUND:CHEMBL1513	MONDO:0004981
CHEMBL.COMPOUND:CHEMBL1083385	MONDO:0004981
CHEMBL.COMPOUND:CHEMBL1201013	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL3182554	MONDO:0005266
CHEMBL.COMPOUND:CHEMBL1709	MONDO:0002046
CHEMBL.COMPOUND:CHEMBL320876	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL33	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL4	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL501867	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1697788	MONDO:0011508
CHEMBL.COMPOUND:CHEMBL1487	MONDO:0004981
CHEMBL.COMPOUND:CHEMBL1201013	MONDO:0005101
CHEMBL.COMPOUND:CHEMBL137	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL1202	MONDO:0005011
CHEMBL.COMPOUND:CHEMBL481	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL1351	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL3545252	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL971	MONDO:0002125
CHEMBL.COMPOUND:CHEMBL526	MONDO:0002125
CHEMBL.COMPOUND:CHEMBL441	MONDO:0002125
CHEMBL.COMPOUND:CHEMBL741	MONDO:0001386
CHEMBL.COMPOUND:CHEMBL1138	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL1064	MONDO:0001336
CHEMBL.COMPOUND:CHEMBL1373	MONDO:0001830
CHEMBL.COMPOUND:CHEMBL1201199	MONDO:0009693
CHEMBL.COMPOUND:CHEMBL1201199	MONDO:0018876
CHEMBL.COMPOUND:CHEMBL1112	MONDO:0005302
CHEMBL.COMPOUND:CHEMBL1200955	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL1201587	MONDO:0008383
CHEMBL.COMPOUND:CHEMBL88	MONDO:0008383
