source	target
CHEMBL.COMPOUND:CHEMBL885	MONDO:0005109
CHEMBL.COMPOUND:CHEMBL578	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL578	MONDO:0005009
CHEMBL.COMPOUND:CHEMBL1980706	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL525076	MONDO:0005109
CHEMBL.COMPOUND:CHEMBL826	MONDO:0001080
CHEMBL.COMPOUND:CHEMBL826	MONDO:0004277
CHEMBL.COMPOUND:CHEMBL826	UMLS:C0149966
CHEMBL.COMPOUND:CHEMBL826	MONDO:0005247
CHEMBL.COMPOUND:CHEMBL953	MONDO:0005180
CHEMBL.COMPOUND:CHEMBL713	MONDO:0005366
CHEMBL.COMPOUND:CHEMBL1200498	UMLS:C0392618
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0005247
CHEMBL.COMPOUND:CHEMBL1200498	MESH:D059413
CHEMBL.COMPOUND:CHEMBL1200498	UMLS:C0276026
CHEMBL.COMPOUND:CHEMBL1200498	UMLS:C0155860
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0005972
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0005867
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0001080
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0005970
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0004264
CHEMBL.COMPOUND:CHEMBL1200498	UMLS:C0276089
CHEMBL.COMPOUND:CHEMBL1200498	MONDO:0025598
CHEMBL.COMPOUND:CHEMBL56337	MONDO:0006626
CHEMBL.COMPOUND:CHEMBL1201483	UMLS:C0037195
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0003781
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0021146
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0005642
CHEMBL.COMPOUND:CHEMBL1201483	UMLS:C0392171
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0011786
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0005324
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0001358
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0006004
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0003014
CHEMBL.COMPOUND:CHEMBL1201483	MESH:D012912
CHEMBL.COMPOUND:CHEMBL1201483	MONDO:0005709
CHEMBL.COMPOUND:CHEMBL1106	MONDO:0005642
CHEMBL.COMPOUND:CHEMBL1483	UMLS:C0153289
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0018408
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0015484
CHEMBL.COMPOUND:CHEMBL1483	MONDO:0044346
CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0004989
CHEMBL.COMPOUND:CHEMBL2104605	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL1095097	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL1139	MONDO:0001999
CHEMBL.COMPOUND:CHEMBL1139	MONDO:0011786
CHEMBL.COMPOUND:CHEMBL1139	MONDO:0003014
CHEMBL.COMPOUND:CHEMBL1139	MONDO:0005709
CHEMBL.COMPOUND:CHEMBL1200987	MONDO:0005044
CHEMBL.COMPOUND:CHEMBL1174	MONDO:0005542
CHEMBL.COMPOUND:CHEMBL1697744	UMLS:C0261486
CHEMBL.COMPOUND:CHEMBL1213135	MESH:D006473
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0005277
CHEMBL.COMPOUND:CHEMBL2448612	MESH:D014653
CHEMBL.COMPOUND:CHEMBL2448612	MONDO:0043537
CHEMBL.COMPOUND:CHEMBL1079742	MONDO:0005233
CHEMBL.COMPOUND:CHEMBL1079742	MONDO:0006047
CHEMBL.COMPOUND:CHEMBL1232	UMLS:C0275550
CHEMBL.COMPOUND:CHEMBL1232	UMLS:C0276026
CHEMBL.COMPOUND:CHEMBL1232	MONDO:0024412
CHEMBL.COMPOUND:CHEMBL1232	MESH:D018784
CHEMBL.COMPOUND:CHEMBL1232	MESH:D059413
CHEMBL.COMPOUND:CHEMBL1232	MONDO:0004652
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005504
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0004854
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0004264
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0004652
CHEMBL.COMPOUND:CHEMBL1200688	UMLS:C1278807
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005545
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005297
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0021680
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005828
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005808
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005077
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0002885
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0005976
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0025598
CHEMBL.COMPOUND:CHEMBL1200688	MONDO:0001080
