count	source	target	ngd
180.0	MESH:D004364	UMLS:C1457887	0.49171541306903405
143.0	MESH:D004364	MONDO:0005044	0.49792243556187643
121.0	MESH:D004364	MONDO:0005070	0.539258779327805
111.0	MESH:D004364	MONDO:0001830	0.5193367056277889
105.0	UMLS:C0003232	UMLS:C1457887	0.548262185474996
96.0	CHEMBL.COMPOUND:CHEMBL941	MONDO:0011996	0.18098562546346128
91.0	MESH:D004364	MONDO:0001386	0.5157641031683736
91.0	UMLS:C0003299	MONDO:0001386	0.2967975241266996
80.0	UMLS:C0242708	MONDO:0008383	0.3195073798416891
80.0	UMLS:C0003299	MONDO:0001386	0.2967975241266996
79.0	CHEBI:35476	MONDO:0005090	0.17434784104831016
75.0	UMLS:C0003232	MONDO:0005249	0.4031484393502369
74.0	MESH:D004364	MONDO:0001386	0.5157641031683736
70.0	UMLS:C0003232	UMLS:C0343401	0.4440872143967416
68.0	MESH:D004364	MONDO:0018076	0.5580009141928802
65.0	CHEMBL.COMPOUND:CHEMBL941	MONDO:0011719	0.1582079168124976
61.0	UMLS:C0304402	MONDO:0005302	0.2664262159753796
61.0	MESH:D004364	MONDO:0004992	0.5071032985102859
61.0	CHEBI:35469	MONDO:0002050	0.2532630202877746
57.0	CHEMBL.COMPOUND:CHEMBL3322001	MONDO:0011122	0.3150986074084363
56.0	RXNORM:42386	MONDO:0012727	0.22945632974804994
52.0	CHEMBL.COMPOUND:CHEMBL374478	MONDO:0018076	0.35416849602036055
50.0	CHEMBL.COMPOUND:CHEMBL11359	MONDO:0005070	0.5337882205816782
49.0	CHEBI:38070	MONDO:0004981	0.24405024488468144
48.0	MESH:D004364	UMLS:C0596988	0.7236057838611542
48.0	CHEMBL.COMPOUND:CHEMBL351042	MONDO:0005180	0.22057014955352974
46.0	CHEMBL.COMPOUND:CHEMBL34259	MONDO:0008383	0.32856700107577275
46.0	UMLS:C0003232	MONDO:0005113	0.3213129409818645
46.0	CHEBI:35674	MONDO:0005044	0.23449248573593207
46.0	CHEMBL.COMPOUND:CHEMBL64	MONDO:0018076	0.3108193745411574
45.0	CHEMBL.COMPOUND:CHEMBL76	MONDO:0005136	0.2935155572337611
45.0	MESH:D004364	MONDO:0004975	0.563305878355193
45.0	MESH:D004364	MONDO:0005015	0.5383007885353536
44.0	CHEMBL.COMPOUND:CHEMBL2355051	MONDO:0008487	0.27569248596184126
44.0	CHEMBL.COMPOUND:CHEMBL76	UMLS:C0858318	0.2704402457668962
44.0	CHEBI:35469	MONDO:0002009	0.1915152049151589
43.0	MESH:D004364	MONDO:0005302	0.5383883235805705
41.0	CHEMBL.COMPOUND:CHEMBL83	MONDO:0007254	0.3224014775476444
41.0	MESH:D004364	MONDO:0005180	0.5595593192045057
40.0	CHEMBL.COMPOUND:CHEMBL1200879	MONDO:0004981	0.247941170325063
40.0	UMLS:C0003232	UMLS:C0596988	0.6360692721354606
39.0	CHEMBL.COMPOUND:CHEMBL1703	UMLS:C0241863	0.3860451980230425
39.0	MESH:D018491	MONDO:0005180	0.32918189019167843
38.0	MESH:D004364	MONDO:0013209	0.6579591559731
38.0	CHEMBL.COMPOUND:CHEMBL52100	MONDO:0005366	0.20577062451501985
38.0	MESH:D004364	MONDO:0002050	0.5295416168612698
37.0	MESH:D004364	MONDO:0005861	0.5365076349248649
36.0	CHEBI:38070	MONDO:0005477	0.22205699747416377
36.0	MESH:D004364	MONDO:0004979	0.5412349608954399
35.0	MESH:D004364	UMLS:C0595921	0.5754140586867496
34.0	CHEBI:35476	UMLS:C1457887	0.46248026336634246
34.0	UMLS:C0003232	MONDO:0005229	0.3591097774527795
34.0	CHEMBL.COMPOUND:CHEMBL76	MONDO:0005920	0.2599931315560431
33.0	CHEMBL.COMPOUND:CHEMBL1200981	MONDO:0005070	0.5469238666440069
33.0	CHEBI:35475	MONDO:0001830	0.4150157399726923
32.0	UMLS:C0003232	MONDO:0005247	0.375123488880089
32.0	CHEBI:35530	MONDO:0005009	0.3642032273749679
32.0	RXNORM:4053	UMLS:C0343401	0.4573369801264473
32.0	CHEBI:38070	MONDO:0007263	0.22650415831051623
31.0	MESH:D004364	MONDO:0008383	0.5658123603797791
31.0	CHEBI:35457	MONDO:0005044	0.3410648250764642
31.0	CHEMBL.COMPOUND:CHEMBL1773	MONDO:0005070	0.5636301160802093
31.0	UMLS:C1268567	MONDO:0011996	0.24058926616545434
31.0	MESH:D004364	UMLS:C0009566	0.5736839063261711
31.0	MESH:D004364	MONDO:0005277	0.55743696165181
30.0	CHEMBL.COMPOUND:CHEMBL107	MONDO:0018088	0.21298948357851674
29.0	MESH:D004364	UMLS:C0241863	0.5926315563490021
29.0	MESH:D004364	MONDO:0029000	0.4979889918081517
