source	target
mebendazole	liver disease
thiabendazole	liver failure
thiabendazole	nephrosis
thiabendazole	kidney diseases/kidney disease
thiabendazole	liver disease
thiabendazole	congenital anomaly of the kidney/abnormality of the kidney
albendazole	pancytopenia
albendazole	aplastic anemia
albendazole	anemia
albendazole	liver disease
albendazole	rare anemia
albendazole	anemia, nonspherocytic hemolytic, due to g6pd deficiency
albendazole	idiopathic aplastic anemia
ibuprofen	hypothyroidism
ibuprofen	liver failure
ibuprofen	obsessive-compulsive disorder
ibuprofen	pseudotumor cerebri
ibuprofen	anemia
ibuprofen	hypokalemia
ibuprofen	cerebral infarction
ibuprofen	systemic lupus erythematosus
ibuprofen	stroke
ibuprofen	systemic lupus erythematosus, susceptibility to, 2 (disorder)/systemic lupus erythematosus, susceptibility to, 2 related phenotypic feature
ibuprofen	blood coagulation disease
ibuprofen	benign prostatic hyperplasia
ibuprofen	hypotension
ibuprofen	ulcerative colitis
ibuprofen	hypercapnia
ibuprofen	agoraphobia
ibuprofen	coronary artery disease, autosomal dominant 2
ibuprofen	diabetes mellitus
ibuprofen	epilepsy
ibuprofen	hypertension
ibuprofen	coronary heart disease, susceptibility to, 7
ibuprofen	thrombocytopenia
ibuprofen	coronary artery disease
ibuprofen	addison disease/primary adrenal insufficiency
ibuprofen	urethral stricture
ibuprofen	sphincter of oddi dysfunction/sphincter of oddi dyskinesia
ibuprofen	constipation
ibuprofen	prostatic adenoma
ibuprofen	panic disorder 2
ibuprofen	inflammatory bowel disease 29
ibuprofen	substance abuse
ibuprofen	leber hereditary optic neuropathy
ibuprofen	hydatidiform mole, recurrent, 2
ibuprofen	myocardial infarction
ibuprofen	substance induced psychotic disorder/substance-induced psychotic disorder
ibuprofen	panic disorder
ibuprofen	hyperthyroidism, familial gestational/familial gestational hyperthyroidism
ibuprofen	inflammatory bowel disease
ibuprofen	kidney diseases/kidney disease
ibuprofen	ocular hypertension
ibuprofen	nephrosis
ibuprofen	thrombocytopenia 2
ibuprofen	emphysema
ibuprofen	chronic obstructive pulmonary disease
ibuprofen	chronic atrophic gastritis/atrophic gastritis
ibuprofen	systemic lupus erythematosus, susceptibility to, 6
ibuprofen	hyperthyroidism
ibuprofen	systemic lupus erythematosus, susceptibility to, 9
ibuprofen	drug psychosis
ibuprofen	alcohol withdrawal delirium
ibuprofen	obsolete alcohol withdrawal delirium
ibuprofen	cor pulmonale
