source	target
mebendazole	enterobiasis
thiabendazole	enterobiasis
ibuprofen	rheumatoid arthritis
ibuprofen	pain
ibuprofen	patent ductus arteriosus
ibuprofen	osteoarthritis
ibuprofen	juvenile rheumatoid arthritis
ibuprofen	heberden's node
ibuprofen	osteoarthritis susceptibility 1
ibuprofen	osteoarthritis susceptibility 5
ibuprofen	osteoarthritis susceptibility 3
ibuprofen	patent ductus arteriosus 1/patent ductus arteriosus 1 related phenotypic feature
ibuprofen	fever symptoms (finding)
cefixime	urinary tract infection
cefixime	bronchitis
cefixime	gonorrhea
cefixime	tonsillitis
cefixime	infectious otitis media
cefixime	chronic gonococcal prostatitis
ceftizoxime	urinary tract infection
ceftizoxime	gonorrhea
ceftizoxime	chronic recurrent multifocal osteomyelitis
ceftizoxime	escherichia coli infections
ceftizoxime	pneumonia
ceftizoxime	meningitis
ceftizoxime	osteomyelitis
ceftizoxime	chronic gonococcal prostatitis
prednisolone	lymphoma, t-cell, cutaneous/cutaneous t-cell lymphoma
prednisolone	iritis
prednisolone	immune thrombocytopenic purpura/idiopathic thrombocytopenic purpura
prednisolone	uveitis
prednisolone	dacryocystitis
prednisolone	systemic lupus erythematosus
prednisolone	eczema
prednisolone	systemic lupus erythematosus, susceptibility to, 2 (disorder)/systemic lupus erythematosus, susceptibility to, 2 related phenotypic feature
prednisolone	non-hodgkin lymphoma
prednisolone	polymyalgia rheumatica
prednisolone	ulcerative colitis
prednisolone	musculoskeletal system disease
prednisolone	extrinsic allergic alveolitis
prednisolone	thyroiditis
prednisolone	skin disease
prednisolone	exfoliative dermatitis/erythroderma
prednisolone	pulmonary fibrosis
prednisolone	asthma
prednisolone	rheumatoid arthritis
prednisolone	allergic conjunctivitis
prednisolone	congenital adrenal hyperplasia
prednisolone	lymphosarcoma
prednisolone	angioedema
prednisolone	congenital hypoplastic anemia
prednisolone	exanthem
prednisolone	psoriasis
prednisolone	cerebral edema/brain edema
prednisolone	seborrheic dermatitis
prednisolone	crohn disease
prednisolone	juvenile rheumatoid arthritis
prednisolone	eye abnormalities/eye disease
prednisolone	addison disease/primary adrenal insufficiency
prednisolone	lymphoid leukemia
prednisolone	hodgkin lymphoma
prednisolone	lymphoblastic leukemia, acute, with lymphomatous features
prednisolone	ankylosing spondylitis
prednisolone	rosacea
prednisolone	autoimmune hemolytic anemia
prednisolone	synovitis
prednisolone	adrenal insufficiency/adrenocortical insufficiency
prednisolone	rheumatic heart disease
prednisolone	adrenogenital syndrome
prednisolone	nephrotic syndrome, type 17
prednisolone	stevens-johnson syndrome
prednisolone	inflammatory bowel disease 29
prednisolone	immunoglobulin-mediated membranoproliferative glomerulonephritis
prednisolone	corneal ulcer
prednisolone	dermatitis, atopic, 2/atopic dermatitis 2
prednisolone	nephrotic syndrome, type 8
prednisolone	tenosynovitis
prednisolone	multiple sclerosis
prednisolone	allergic rhinitis
prednisolone	autoimmune thrombocytopenia
prednisolone	autoimmune disease
prednisolone	inflammatory bowel disease
prednisolone	gout
prednisolone	precursor lymphoid neoplasm/precursor lymphoblastic lymphoma/leukemia
prednisolone	systemic lupus erythematosus, susceptibility to, 6
prednisolone	recurrent erosion of cornea/recurrent corneal erosions
prednisolone	systemic lupus erythematosus, susceptibility to, 9
prednisolone	sympathetic ophthalmia
prednisolone	childhood acute lymphoblastic leukemia
prednisolone	psoriasis susceptibility 1/psoriasis 1, susceptibility to related phenotypic feature
prednisolone	nephrotic syndrome, type 21
prednisolone	hodgkin disease, x-linked pseudoautosomal
prednisolone	nephrotic syndrome, type 19
prednisolone	inflammatory bowel disease 17
prednisolone	iridocyclitis
prednisolone	asthma-related traits, susceptibility to, 1
prednisolone	contact dermatitis
prednisolone	3-beta-hydroxysteroid dehydrogenase deficiency
prednisolone	asthma-related traits, susceptibility to, 5
prednisolone	bacterial conjunctivitis
prednisolone	denys-drash syndrome
prednisolone	nephrotic syndrome, type 10
prednisolone	inflammatory bowel disease 10
prednisolone	psoriasis 11, susceptibility to
prednisolone	nephrotic syndrome
prednisolone	systemic lupus erythematosus, resistance to, 1/systemic lupus erythematosus, susceptibility to, 1 (finding)
prednisolone	psoriasis 13, susceptibility to
prednisolone	keratitis
prednisolone	rare inflammatory bowel disease
prednisolone	interdigitating dendritic cell sarcoma
prednisolone	nephrotic syndrome, type 6
prednisolone	asthma-related traits, susceptibility to, 2
prednisolone	discoid lupus erythematosus
prednisolone	inflammatory bowel disease 19
prednisolone	leukemia, acute lymphoblastic, susceptibility to, 3
prednisolone	leukemia, acute lymphoblastic, susceptibility to, 2/leukemia, acute lymphoblastic, susceptibility to, 2 related phenotypic feature
prednisolone	ige responsiveness, atopic
prednisolone	classic hodgkin lymphoma
prednisolone	leukemia, acute lymphocytic, susceptibility to, 1
prednisolone	multiple sclerosis, susceptibility to
prednisolone	congenital dyserythropoietic anemia
prednisolone	lamb2-related infantile-onset nephrotic syndrome
prednisolone	non-hodgkins lymphoma
prednisolone	burkitt lymphoma
prednisolone	adrenal hyperplasia, congenital, type 5/17,20-lyase deficiency, isolated
prednisolone	multiple sclerosis, susceptibility to, 5
prednisolone	inflammatory bowel disease 13
prednisolone	hodgkin disease, y-linked pseudoautosomal
prednisolone	nephrotic syndrome, type 2 related phenotypic feature/nephrotic syndrome, type 2
prednisolone	type ii hypersensitivity reaction disease
prednisolone	nephrotic syndrome, type 3
prednisolone	stat3-related early-onset multisystem autoimmune disease
prednisolone	primary cutaneous t-cell lymphoma
prednisolone	reactive angioendotheliomatosis/renin-angiotensin-aldosterone system-blocker-induced angioedema
prednisolone	nephrotic syndrome, type 18
prednisolone	inflammatory bowel disease 9
prednisolone	nephrotic syndrome, type 9
prednisolone	psoriasis susceptibility 7 (finding)/psoriasis 7, susceptibility to related phenotypic feature
prednisolone	inflammatory bowel disease 14
prednisolone	psoriasis 2
prednisolone	autoimmune disease, multisystem, infantile-onset, 2
prednisolone	asthma-related traits, susceptibility to, 7
prednisolone	congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
prednisolone	lipoid congenital adrenal hyperplasia/congenital lipoid adrenal hyperplasia due to star deficency
prednisolone	anterior uveitis
prednisolone	systemic lupus erythematosus, susceptibility to, 10 (finding)/systemic lupus erythematosus, susceptibility to, 10 related phenotypic feature
prednisolone	systemic lupus erythematosus, susceptibility to, 11
prednisolone	autoimmune disease, susceptibility to, 6
prednisolone	gastritis associated with crohn disease
prednisolone	nephrotic syndrome, type 16/nephrotic syndrome, type 16 related phenotypic feature
prednisolone	congenital adrenal hyperplasia due to 21 hydroxylase deficiency/hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency
prednisolone	nephrosis, congenital/congenital nephrotic syndrome
hydrocortisone	immune thrombocytopenic purpura/idiopathic thrombocytopenic purpura
hydrocortisone	systemic lupus erythematosus
hydrocortisone	eczema
hydrocortisone	systemic lupus erythematosus, susceptibility to, 2 (disorder)/systemic lupus erythematosus, susceptibility to, 2 related phenotypic feature
hydrocortisone	non-hodgkin lymphoma
hydrocortisone	musculoskeletal system disease
hydrocortisone	thyroiditis
hydrocortisone	exfoliative dermatitis/erythroderma
hydrocortisone	asthma
hydrocortisone	rheumatoid arthritis
hydrocortisone	lymphosarcoma
hydrocortisone	angioedema
hydrocortisone	congenital hypoplastic anemia
hydrocortisone	exanthem
hydrocortisone	psoriasis
hydrocortisone	cerebral edema/brain edema
hydrocortisone	crohn disease
hydrocortisone	eye abnormalities/eye disease
hydrocortisone	addison disease/primary adrenal insufficiency
hydrocortisone	lymphoid leukemia
hydrocortisone	hodgkin lymphoma
hydrocortisone	lymphoblastic leukemia, acute, with lymphomatous features
hydrocortisone	ankylosing spondylitis
hydrocortisone	autoimmune hemolytic anemia
hydrocortisone	synovitis
hydrocortisone	adrenal insufficiency/adrenocortical insufficiency
hydrocortisone	rheumatic heart disease
hydrocortisone	adrenogenital syndrome
hydrocortisone	nephrotic syndrome, type 17
hydrocortisone	inflammatory bowel disease 29
hydrocortisone	immunoglobulin-mediated membranoproliferative glomerulonephritis
hydrocortisone	dermatitis, atopic, 2/atopic dermatitis 2
hydrocortisone	nephrotic syndrome, type 8
hydrocortisone	tenosynovitis
hydrocortisone	allergic rhinitis
hydrocortisone	multiple sclerosis
hydrocortisone	autoimmune thrombocytopenia
hydrocortisone	autoimmune disease
hydrocortisone	inflammatory bowel disease
hydrocortisone	gout
hydrocortisone	precursor lymphoid neoplasm/precursor lymphoblastic lymphoma/leukemia
hydrocortisone	systemic lupus erythematosus, susceptibility to, 6
hydrocortisone	systemic lupus erythematosus, susceptibility to, 9
hydrocortisone	childhood acute lymphoblastic leukemia
hydrocortisone	psoriasis susceptibility 1/psoriasis 1, susceptibility to related phenotypic feature
hydrocortisone	nephrotic syndrome, type 21
hydrocortisone	hodgkin disease, x-linked pseudoautosomal
hydrocortisone	nephrotic syndrome, type 19
hydrocortisone	inflammatory bowel disease 17
hydrocortisone	asthma-related traits, susceptibility to, 1
hydrocortisone	contact dermatitis
hydrocortisone	3-beta-hydroxysteroid dehydrogenase deficiency
hydrocortisone	asthma-related traits, susceptibility to, 5
hydrocortisone	denys-drash syndrome
hydrocortisone	nephrotic syndrome, type 10
hydrocortisone	inflammatory bowel disease 10
hydrocortisone	psoriasis 11, susceptibility to
hydrocortisone	nephrotic syndrome
hydrocortisone	systemic lupus erythematosus, resistance to, 1/systemic lupus erythematosus, susceptibility to, 1 (finding)
hydrocortisone	psoriasis 13, susceptibility to
hydrocortisone	rare inflammatory bowel disease
hydrocortisone	interdigitating dendritic cell sarcoma
hydrocortisone	nephrotic syndrome, type 6
hydrocortisone	juvenile rheumatoid arthritis
hydrocortisone	congenital adrenal hyperplasia
hydrocortisone	asthma-related traits, susceptibility to, 2
hydrocortisone	inflammatory bowel disease 19
hydrocortisone	leukemia, acute lymphoblastic, susceptibility to, 3
hydrocortisone	leukemia, acute lymphoblastic, susceptibility to, 2/leukemia, acute lymphoblastic, susceptibility to, 2 related phenotypic feature
hydrocortisone	ige responsiveness, atopic
hydrocortisone	classic hodgkin lymphoma
hydrocortisone	leukemia, acute lymphocytic, susceptibility to, 1
hydrocortisone	multiple sclerosis, susceptibility to
hydrocortisone	congenital dyserythropoietic anemia
hydrocortisone	lamb2-related infantile-onset nephrotic syndrome
hydrocortisone	non-hodgkins lymphoma
hydrocortisone	burkitt lymphoma
hydrocortisone	adrenal hyperplasia, congenital, type 5/17,20-lyase deficiency, isolated
hydrocortisone	multiple sclerosis, susceptibility to, 5
hydrocortisone	inflammatory bowel disease 13
hydrocortisone	hodgkin disease, y-linked pseudoautosomal
hydrocortisone	nephrotic syndrome, type 2 related phenotypic feature/nephrotic syndrome, type 2
hydrocortisone	type ii hypersensitivity reaction disease
hydrocortisone	nephrotic syndrome, type 3
hydrocortisone	stat3-related early-onset multisystem autoimmune disease
hydrocortisone	reactive angioendotheliomatosis/renin-angiotensin-aldosterone system-blocker-induced angioedema
hydrocortisone	nephrotic syndrome, type 18
hydrocortisone	inflammatory bowel disease 9
hydrocortisone	nephrotic syndrome, type 9
