source	target
menadiol	obsolete transient hypertension of pregnancy
menadiol	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
menadiol	obsolete pregnancy in diabetics
menadiol	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
menadiol	obsolete complications of pregnancy, childbirth and the puerperium
menadiol	obsolete complications mainly related to pregnancy
menadiol	obsolete excessive vomiting starting after 22 completed weeks of gestation
menadiol	pregnancy exposure
menadiol	obsolete hemorrhagic disease of newborn
menadiol	abnormality of coagulation/hemorrhagic disorders
menadiol	obsolete epizootic hemorrhagic disease
estramustine	thrombophlebitis
megestrol/megestrol acetate	obsolete transient hypertension of pregnancy
megestrol/megestrol acetate	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
megestrol/megestrol acetate	obsolete pregnancy in diabetics
megestrol/megestrol acetate	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
megestrol/megestrol acetate	obsolete complications of pregnancy, childbirth and the puerperium
megestrol/megestrol acetate	obsolete complications mainly related to pregnancy
megestrol/megestrol acetate	obsolete excessive vomiting starting after 22 completed weeks of gestation
megestrol/megestrol acetate	pregnancy exposure
thyroxine	liver failure
thyroxine	obsolete abortion complicated by renal failure
thyroxine	renal failure
thyroxine	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
thyroxine	hypertension
thyroxine	obsolete pre-eclampsia or eclampsia superimposed on pre-existing hypertension
thyroxine	x-linked intellectual disability-cardiomegaly-congestive heart failure syndrome
thyroxine	congestive heart failure/heart failure
thyroxine	rheumatic heart disease
thyroxine	obsolete transient hypertension of pregnancy
thyroxine	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
thyroxine	obsolete pregnancy in diabetics
thyroxine	obsolete complications of pregnancy, childbirth and the puerperium
thyroxine	obsolete complications mainly related to pregnancy
thyroxine	obsolete excessive vomiting starting after 22 completed weeks of gestation
thyroxine	pregnancy exposure
ergotamine	peripheral arterial disease
ergotamine	peripheral vascular disease
ergotamine	obsolete generalized infection during labor
ergotamine	liver disease
ergotamine	obsolete hepatic torque teno virus infectious disease
ergotamine	obsolete transient hypertension of pregnancy
ergotamine	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
ergotamine	obsolete pregnancy in diabetics
ergotamine	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
ergotamine	obsolete complications of pregnancy, childbirth and the puerperium
ergotamine	obsolete complications mainly related to pregnancy
ergotamine	obsolete excessive vomiting starting after 22 completed weeks of gestation
ergotamine	pregnancy exposure
ergotamine	hypertension
ergotamine	obsolete pre-eclampsia or eclampsia superimposed on pre-existing hypertension
ergotamine	nephronophthisis-like nephropathy 1
ergotamine	obsolete bone marrow tansplantation nephropathy
ergotamine	obsolete gouty nephropathy
ergotamine	kidney diseases/kidney disease
ergotamine	congenital anomaly of the kidney/abnormality of the kidney
valproic acid	liver disease
valproic acid	obsolete hepatic torque teno virus infectious disease
valproic acid	obsolete transient hypertension of pregnancy
valproic acid	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
valproic acid	obsolete pregnancy in diabetics
valproic acid	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
valproic acid	obsolete complications of pregnancy, childbirth and the puerperium
valproic acid	obsolete complications mainly related to pregnancy
valproic acid	obsolete excessive vomiting starting after 22 completed weeks of gestation
valproic acid	pregnancy exposure
interferon alfa-2b	autoimmune hepatitis
terbinafine	nephronophthisis-like nephropathy 1
terbinafine	obsolete bone marrow tansplantation nephropathy
terbinafine	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
terbinafine	obsolete gouty nephropathy
terbinafine	kidney diseases/kidney disease
terbinafine	congenital anomaly of the kidney/abnormality of the kidney
terbinafine	liver disease
terbinafine	obsolete hepatic torque teno virus infectious disease
milrinone	allergy
milrinone	gluten allergy
milrinone	obsolete arthropathy due to hypersensitivity reaction
milrinone	allergic respiratory disease/respiratory allergy
milrinone	timothy grass allergy
milrinone	gastrointestinal allergy
milrinone	fruit allergy
milrinone	apple allergy
milrinone	apricot allergy
milrinone	cherry allergy
milrinone	indian plum allergy
milrinone	melon allergy
milrinone	peach allergy
milrinone	plum allergy
milrinone	tomato allergy
milrinone	fish allergy
milrinone	atlantic cod allergy
milrinone	atlantic salmon allergy
milrinone	carp allergy
milrinone	zebrafish allergy
milrinone	rainbow trout allergy
milrinone	penicillin allergy
milrinone	mollusc allergy
milrinone	crustacean allergy
milrinone	brown shrimp allergy
milrinone	crab allergy
milrinone	indian prawn allergy
milrinone	tiger prawn allergy
milrinone	white shrimp allergy
milrinone	snail allergy
milrinone	horned turban snail allergy
fluvastatin	obsolete transient hypertension of pregnancy
fluvastatin	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
fluvastatin	obsolete pregnancy in diabetics
fluvastatin	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
fluvastatin	obsolete complications of pregnancy, childbirth and the puerperium
fluvastatin	obsolete complications mainly related to pregnancy
fluvastatin	obsolete excessive vomiting starting after 22 completed weeks of gestation
fluvastatin	pregnancy exposure
fluvastatin	liver failure
bisoprolol	hypotension
bisoprolol	x-linked intellectual disability-cardiomegaly-congestive heart failure syndrome
bisoprolol	congestive heart failure/heart failure
bisoprolol	cardiogenic shock
bisoprolol	pulmonary edema
bisoprolol	obsolete transient hypertension of pregnancy
bisoprolol	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
bisoprolol	obsolete pregnancy in diabetics
bisoprolol	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
bisoprolol	obsolete complications of pregnancy, childbirth and the puerperium
bisoprolol	obsolete complications mainly related to pregnancy
bisoprolol	obsolete excessive vomiting starting after 22 completed weeks of gestation
bisoprolol	pregnancy exposure
bisoprolol	sick sinus syndrome
metformin	liver disease
metformin	obsolete hepatic torque teno virus infectious disease
metformin	obsolete abortion complicated by renal failure
metformin	renal failure
vinorelbine	obsolete transient hypertension of pregnancy
vinorelbine	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
vinorelbine	obsolete pregnancy in diabetics
vinorelbine	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
vinorelbine	obsolete complications of pregnancy, childbirth and the puerperium
vinorelbine	obsolete complications mainly related to pregnancy
vinorelbine	obsolete excessive vomiting starting after 22 completed weeks of gestation
vinorelbine	pregnancy exposure
vinorelbine	thrombocytopenia
vinorelbine	3-methylglutaconic aciduria type 7/3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia
vinorelbine	neutropenia
vinorelbine	poikiloderma with neutropenia
dorzolamide	obsolete abortion complicated by renal failure
dorzolamide	renal failure
moexipril	obsolete transient hypertension of pregnancy
moexipril	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
moexipril	obsolete pregnancy in diabetics
moexipril	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
moexipril	obsolete complications of pregnancy, childbirth and the puerperium
moexipril	obsolete complications mainly related to pregnancy
moexipril	obsolete excessive vomiting starting after 22 completed weeks of gestation
moexipril	pregnancy exposure
moexipril	hyperaldosteronism/cushing syndrome
moexipril	hypotension
moexipril	angioedema
epoprostenol	x-linked intellectual disability-cardiomegaly-congestive heart failure syndrome
epoprostenol	congestive heart failure/heart failure
irinotecan	obsolete transient hypertension of pregnancy
irinotecan	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
irinotecan	obsolete pregnancy in diabetics
irinotecan	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
irinotecan	obsolete complications of pregnancy, childbirth and the puerperium
irinotecan	obsolete complications mainly related to pregnancy
irinotecan	obsolete excessive vomiting starting after 22 completed weeks of gestation
irinotecan	pregnancy exposure
gemcitabine	obsolete transient hypertension of pregnancy
gemcitabine	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
gemcitabine	obsolete pregnancy in diabetics
gemcitabine	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
gemcitabine	obsolete complications of pregnancy, childbirth and the puerperium
gemcitabine	obsolete complications mainly related to pregnancy
gemcitabine	obsolete excessive vomiting starting after 22 completed weeks of gestation
gemcitabine	pregnancy exposure
atorvastatin	obsolete transient hypertension of pregnancy
atorvastatin	obsolete toxemia with convulsions complicating pregnancy, childbirth or the puerperium
atorvastatin	obsolete pregnancy in diabetics
atorvastatin	obsolete hypertension secondary to renal disease, complicating pregnancy, childbirth and the puerperium
atorvastatin	obsolete complications of pregnancy, childbirth and the puerperium
atorvastatin	obsolete complications mainly related to pregnancy
atorvastatin	obsolete excessive vomiting starting after 22 completed weeks of gestation
atorvastatin	pregnancy exposure
atorvastatin	liver failure
nelfinavir	phenylketonuria
butenafine	allergy
butenafine	gluten allergy
butenafine	obsolete arthropathy due to hypersensitivity reaction
butenafine	allergic respiratory disease/respiratory allergy
butenafine	timothy grass allergy
butenafine	gastrointestinal allergy
butenafine	fruit allergy
butenafine	apple allergy
butenafine	apricot allergy
butenafine	cherry allergy
butenafine	indian plum allergy
butenafine	melon allergy
butenafine	peach allergy
