source	target
menadiol	hypoprothrombinemias/prothrombin deficiency
estramustine	prostate cancer
liothyronine	thyroid cancer
liothyronine	thyroid neoplasm/thyroid tumor
liothyronine	myxedema
liothyronine	thyrotoxicosis
liothyronine	obsolete thyrotoxicosis from ectopic thyroid nodule
liothyronine	obsolete thyrotoxicosis with toxic single thyroid nodule
liothyronine	goiter
liothyronine	hashimoto thyroiditis
megestrol/megestrol acetate	breast cancer
megestrol/megestrol acetate	breast neoplasm
megestrol/megestrol acetate	endometrial cancer
thyroxine	hypercholesterolemia, autosomal recessive/autosomal recessive hypercholesterolemia
thyroxine	obsolete hypercholesterolemia
thyroxine	hyperlipidemia
thyroxine	hyperlipoproteinemia
thyroxine	coronary artery disease
ergotamine	cluster headache
valproic acid	alzheimer disease 2
valproic acid	alzheimer disease 16
valproic acid	alzheimer disease 6
valproic acid	alzheimer disease 7
valproic acid	alzheimer disease 4
valproic acid	alzheimer disease 8
valproic acid	alzheimer disease, familial, type 3/alzheimer disease, familial, 3, with spastic paraparesis and unusual plaques
valproic acid	alzheimer disease 10
valproic acid	alzheimer disease 11
valproic acid	alzheimer disease 12
valproic acid	alzheimer disease 13
valproic acid	alzheimer disease 14
valproic acid	alzheimer's disease without neurofibrillary tangles/alzheimer disease 15
valproic acid	alzheimer disease 17
valproic acid	alzheimer disease 18
valproic acid	alzheimer disease 19
valproic acid	alzheimer disease type 1/presenile and senile dementia
valproic acid	alzheimer's disease
valproic acid	bipolar disorder
valproic acid	childhood absence epilepsy
valproic acid	early onset absence epilepsy
valproic acid	generalized non-motor (absence) seizure
valproic acid	complex partial epilepsy
interferon alfa-2b	chronic myelogenous leukemia
interferon alfa-2b	myelocytic leukemia-like syndrome, familial, chronic/familial chronic myelocytic leukemia-like syndrome
interferon alfa-2b	multiple myeloma
interferon alfa-2b	obsolete multiple myeloma and immunoproliferative neoplasm
interferon alfa-2b	condyloma acuminatum/anogenital human papillomavirus infection
interferon alfa-2b	obsolete hairy cell leukemia of spleen
