source	target
medroxyprogesterone	systemic lupus erythematosus
alendronic acid	osteoporosis
tocophersolan	atherosclerosis
calcitriol	rickets
daclizumab	aplastic anemia
amifostine	neuroblastoma
melphalan	neuroblastoma
thiotepa	neuroblastoma
busulfan	neuroblastoma
lenograstim	neuroblastoma
amifostine	retinoblastoma
melphalan	retinoblastoma
thiotepa	retinoblastoma
busulfan	retinoblastoma
lenograstim	retinoblastoma
atorvastatin	nephrotic syndrome
atorvastatin	hyperlipidemia
warfarin	atherosclerosis
aspirin	atherosclerosis
fluoxetine	bipolar disorder
etoposide	multiple myeloma
thalidomide	multiple myeloma
cisplatin	multiple myeloma
lenograstim	multiple myeloma
cyclophosphamide	multiple myeloma
dexamethasone	multiple myeloma
irinotecan	diarrhea
octreotide	diarrhea
imatinib	gastrointestinal stromal tumor
nitric oxide	pneumonia
infliximab	juvenile rheumatoid arthritis
becaplermin	skin ulcer
abatacept	multiple sclerosis
methotrexate	dermatomyositis
prednisone	dermatomyositis
etanercept	dermatomyositis
vincristine	ewing sarcoma
cyclophosphamide	ewing sarcoma
dexrazoxane	ewing sarcoma
doxorubicin	ewing sarcoma
capecitabine/fluorouracil	diarrhea
cyclophosphamide	scleroderma
nitric oxide	pulmonary arterial hypertension
methotrexate	rheumatoid arthritis
tolcapone	schizophrenia
micafungin	aspergillosis
amphotericin b	aspergillosis
riluzole	bipolar disorder
rituximab	non-hodgkin lymphoma
estradiol	postpartum depression
lamotrigine	bipolar disorder
lithium	bipolar disorder
finasteride	benign prostatic hyperplasia
abciximab	stroke
melphalan	multiple myeloma
everolimus	rheumatoid arthritis
sirolimus	rheumatoid arthritis
infliximab	temporal arteritis
alemtuzumab	non-hodgkin lymphoma
etanercept	juvenile rheumatoid arthritis
natalizumab	rheumatoid arthritis
capsaicin	pain
prednisone	waldenstrom macroglobulinemia
vincristine	waldenstrom macroglobulinemia
rituximab	waldenstrom macroglobulinemia
cyclophosphamide	waldenstrom macroglobulinemia
doxorubicin	waldenstrom macroglobulinemia
estradiol	premenstrual dysphoric disorder
ethinyl estradiol	premenstrual dysphoric disorder
progesterone	premenstrual dysphoric disorder
capsaicin	herpes zoster
capsaicin	neuralgia
capsaicin	diabetes mellitus
caspofungin	candidiasis
bortezomib	waldenstrom macroglobulinemia
azathioprine	crohn disease
ibandronic acid	pain
zoledronic acid	pain
etoposide	peripheral t-cell lymphoma
ifosfamide	peripheral t-cell lymphoma
oxaliplatin	peripheral t-cell lymphoma
mifepristone	alzheimer's disease
niacinamide	hyperlipidemia
niacin	hyperlipidemia
vorinostat	multiple myeloma
infliximab	berylliosis
azacitidine	chronic myelomonocytic leukemia
decitabine	chronic myelomonocytic leukemia
busulfan	multiple myeloma
citalopram	anxiety disorder
dexetimide	anxiety disorder
rosiglitazone	endometriosis
doxorubicin	non-hodgkin lymphoma
niacinamide	stroke
simvastatin	stroke
niacin	stroke
niacinamide	atherosclerosis
simvastatin	atherosclerosis
niacin	atherosclerosis
niacinamide	myocardial infarction
simvastatin	myocardial infarction
niacin	myocardial infarction
hydroxyurea	stroke
bortezomib	multiple myeloma
tobramycin	cystic fibrosis
hydromorphone	pain
fentanyl	pain
retinyl palmitate	vitamin a deficiency
atorvastatin	familial hypercholesterolemia
atorvastatin	diabetes mellitus
alefacept	lichen planus
aceclofenac	pain
sildenafil	pulmonary arterial hypertension
memantine	schizophrenia
buspirone	schizophrenia
memantine	chronic schizophrenia
buspirone	chronic schizophrenia
tocophersolan	crohn disease
tocophersolan	ulcerative colitis
naltrexone	alcohol abuse
cetirizine	asthma
adenosine	coronary artery disease
etoposide	rhabdomyosarcoma
ifosfamide	rhabdomyosarcoma
omalizumab	asthma
celecoxib	osteoarthritis
fluconazole	hyperlipidemia
nitroprusside	hyperlipidemia
octreotide	prader-willi syndrome
pemetrexed	non-small cell lung carcinoma
lenalidomide	non-small cell lung carcinoma
noscapine	non-hodgkin lymphoma
mitoxantrone	mantle cell lymphoma
vidarabine	mantle cell lymphoma
rituximab	mantle cell lymphoma
propofol	pain
methotrexate	urticaria
olanzapine	bipolar disorder
cyproheptadine	urticaria
bortezomib	non-small cell lung carcinoma
rosiglitazone	diabetes mellitus
cetuximab	non-small cell lung carcinoma
paroxetine	panic disorder
buspirone	panic disorder
donepezil	schizophrenia
thalidomide	hodgkin lymphoma
olanzapine	schizophrenia
tocophersolan	schizophrenia
vincristine	multiple myeloma
zoledronic acid	multiple myeloma
doxorubicin	multiple myeloma
atomoxetine	schizophrenia
clozapine	schizophrenia
rituximab	urticaria
budesonide	diarrhea
nitric oxide	pain
imatinib	chronic myelogenous leukemia
cytarabine	chronic myelogenous leukemia
daunorubicin	chronic myelogenous leukemia
tocophersolan	myocardial infarction
valproic acid	neuralgia
alteplase	pulmonary embolism
capecitabine/fluorouracil	neuroendocrine neoplasm
oxaliplatin	neuroendocrine neoplasm
bevacizumab	neuroendocrine neoplasm
rimonabant	obesity
topiramate	obesity
topiramate	hyperlipidemia
topiramate	hypertriglyceridemia
sertraline	insomnia
erythropoietin	rheumatoid arthritis
clofarabine	multiple myeloma
hydroxocobalamin	cerebral edema/brain edema
irbesartan	atrial fibrillation
clopidogrel	atrial fibrillation
olsalazine	crohn disease
octreotide	diabetic retinopathy
sertraline	alcohol abuse
etoposide	non-hodgkin lymphoma
levofloxacin	non-hodgkin lymphoma
ofloxacin	non-hodgkin lymphoma
vincristine	non-hodgkin lymphoma
dexamethasone	non-hodgkin lymphoma
atorvastatin	atrial fibrillation
olsalazine	ulcerative colitis
metronidazole	crohn disease
ciprofloxacin	crohn disease
irinotecan	non-small cell lung carcinoma
carboplatin	non-small cell lung carcinoma
