source	target
emtricitabine	hiv infection
enalapril	hypertension
enalapril	congestive heart failure/heart failure
endralazine	hypertension
enfuvirtide	hiv infection
enoxacin	acute gonococcal cervicitis
enoxacin	gonorrhea
enoxacin	gonorrhea of pharynx
enoxacin	urinary tract infection
entacapone	parkinson's disease
entecavir	hepatitis b, chronic/chronic hepatitis b virus infection
trovafloxacin	postoperative infection
trovafloxacin	urinary tract infection
trovafloxacin	abdominal infection
trovafloxacin	haemophilus influenzae pneumonia
trovafloxacin	pneumonia due to pseudomonas
trovafloxacin	streptococcal pneumonia
trovafloxacin	mycoplasma pneumoniae pneumonia
trovafloxacin	acute gonococcal cervicitis
trovafloxacin	staphylococcal pneumonia
trovafloxacin	acute gonococcal endometritis
trovafloxacin	pneumonia due to escherichia coli
trovafloxacin	chlamydial pneumonia
epalrestat	diabetic neuropathy
ephedrine	sinus pain
ephedrine	bronchitis
ephedrine	headache disorders/headache disorder
ephedrine	allergic conjunctivitis
ephedrine	influenza-like symptoms/flu-like symptoms
ephedrine	allergic rhinitis
ephedrine	hay fever/seasonal allergic rhinitis
ephedrine	bronchospasm
ephedrine	vasomotor rhinitis
ephedrine	rhinitis
ephedrine	sneezing
ephedrine	common cold
epinastine	allergic conjunctivitis
albendazole	echinococcus granulosus infection of liver
albendazole	cystic echinococcosis
albendazole	cysticercosis
albendazole	echinococcus granulosus infection/echinococcus granulosus infectious disease
doxorubicin	breast carcinoma
epitizide	hypertension
eplerenone	hypertension
epoprostenol	pulmonary arterial hypertension
epoprostenol	allergic rhinitis
epoprostenol	rhinitis
epoprostenol	common cold
eprosartan	hypertension
eptifibatide	acute coronary syndrome
erdosteine	accidental poisoning by lead and its compounds and fumes
ergonovine	postpartum hemorrhage
ergotamine	migraine
ergotamine	vascular headaches
ergotamine	cluster headache
erlotinib	non-small cell lung carcinoma
erlotinib	pancreatic adenocarcinoma
ertapenem	acute bacterial peritonitis
ertapenem	haemophilus influenzae pneumonia
ertapenem	peptostreptococcus infectious disease
ertapenem	abdominal abscess
ertapenem	abdominal infection
ertapenem	bacterial pneumonia
benzoyl peroxide	diphtheria
benzoyl peroxide	ophthalmia neonatorum
benzoyl peroxide	acute gonococcal endometritis
benzoyl peroxide	bacterial pneumonia
benzoyl peroxide	chlamydial urethritis
benzoyl peroxide	staphylococcus aureus infection
benzoyl peroxide	urethritis
benzoyl peroxide	streptococcal infection
benzoyl peroxide	listeriosis
benzoyl peroxide	inclusion conjunctivitis
benzoyl peroxide	whooping cough
benzoyl peroxide	erythrasma
benzoyl peroxide	syphilis
benzoyl peroxide	chlamydial pneumonia
benzoyl peroxide	acute gonococcal cervicitis
benzoyl peroxide	acne
benzoyl peroxide	infectious otitis media
benzoyl peroxide	mycoplasma pneumoniae pneumonia
benzoyl peroxide	gonorrhea
albuterol	bronchospasm
albuterol	asthma attack
benzoyl peroxide	abdominal infection
benzoyl peroxide	meningitis
benzoyl peroxide	cholangitis
benzoyl peroxide	septicemia
benzoyl peroxide	hepatic coma
benzoyl peroxide	osteomyelitis
