count	source	target	ngd
180.0	pharmaceutical preparations	symptom	0.491715413069034
143.0	pharmaceutical preparations	hypertension	0.4979224355618764
121.0	pharmaceutical preparations	neoplasm/benign neoplasm	0.539258779327805
111.0	pharmaceutical preparations	pain	0.5193367056277889
105.0	antibiotics	symptom	0.548262185474996
96.0	imatinib	chronic myelogenous leukemia	0.1809856254634612
91.0	pharmaceutical preparations	epilepsy	0.5157641031683736
91.0	antiepileptic agents	epilepsy	0.2967975241266996
80.0	antirheumatic drugs, disease-modifying	rheumatoid arthritis	0.3195073798416891
80.0	antiepileptic agents	epilepsy	0.2967975241266996
79.0	antipsychotic agents/antipsychotic agent	schizophrenia	0.1743478410483101
75.0	antibiotics	pneumonia	0.4031484393502369
74.0	pharmaceutical preparations	epilepsy	0.5157641031683736
70.0	antibiotics	methicillin-resistant staphylococcus aureus infection	0.4440872143967416
68.0	pharmaceutical preparations	tuberculosis	0.5580009141928802
65.0	imatinib	gastrointestinal stromal tumor	0.1582079168124976
61.0	stimulant	attention deficit hyperactivity disorder	0.2664262159753796
61.0	pharmaceutical preparations	cancer	0.5071032985102859
61.0	antidepressive agents	depression	0.2532630202877746
57.0	leptin	obesity	0.3150986074084363
56.0	immunoglobulins, intravenous	mucocutaneous lymph node syndrome	0.2294563297480499
52.0	rifampin	tuberculosis	0.3541684960203605
50.0	cisplatin	neoplasm/benign neoplasm	0.5337882205816782
49.0	anti-arrhythmia agents	atrial fibrillation	0.2440502448846814
48.0	pharmaceutical preparations	mutant	0.7236057838611542
48.0	levodopa	parkinson's disease	0.2205701495535297
46.0	methotrexate	rheumatoid arthritis	0.3285670010757727
46.0	antibiotics	bacterial infections	0.3213129409818645
46.0	antihypertensive agents/antihypertensive agent	hypertension	0.234492485735932
46.0	isoniazid	tuberculosis	0.3108193745411574
45.0	chloroquine	malaria	0.2935155572337611
45.0	pharmaceutical preparations	alzheimer's disease	0.563305878355193
45.0	pharmaceutical preparations	diabetes mellitus	0.5383007885353536
44.0	clomiphene/clomiphene citrate	polycystic ovary syndrome	0.2756924859618412
44.0	chloroquine	plasmodium falciparum infection	0.2704402457668962
44.0	antidepressive agents	major depressive disorder	0.1915152049151589
43.0	pharmaceutical preparations	attention deficit hyperactivity disorder	0.5383883235805705
41.0	tamoxifen	breast cancer	0.3224014775476444
41.0	pharmaceutical preparations	parkinson's disease	0.5595593192045057
40.0	warfarin	atrial fibrillation	0.247941170325063
40.0	antibiotics	mutant	0.6360692721354606
39.0	metformin	diabetic	0.3860451980230425
39.0	dopamine agonists	parkinson's disease	0.3291818901916784
38.0	pharmaceutical preparations	non-alcoholic fatty liver disease	0.6579591559731
38.0	lamivudine	hepatitis b, chronic/chronic hepatitis b virus infection	0.2057706245150198
38.0	pharmaceutical preparations	depression	0.5295416168612698
37.0	pharmaceutical preparations	multidrug-resistant tuberculosis	0.5365076349248649
36.0	anti-arrhythmia agents	ventricular tachycardia	0.2220569974741637
36.0	pharmaceutical preparations	asthma	0.5412349608954399
35.0	pharmaceutical preparations	intraocular pressure disorder	0.5754140586867496
34.0	antipsychotic agents/antipsychotic agent	symptom	0.4624802633663424
34.0	antibiotics	septicemia	0.3591097774527795
34.0	chloroquine	plasmodium falciparum malaria	0.2599931315560431
33.0	doxorubicin	neoplasm/benign neoplasm	0.5469238666440069
33.0	anti-inflammatory agents, non-steroidal	pain	0.4150157399726923
32.0	antibiotics	urinary tract infection	0.375123488880089
32.0	adrenergic beta-antagonists/beta-adrenergic antagonist	congestive heart failure/heart failure	0.3642032273749679
32.0	erythromycin	methicillin-resistant staphylococcus aureus infection	0.4573369801264473
32.0	anti-arrhythmia agents	arrhythmia	0.2265041583105162
31.0	pharmaceutical preparations	rheumatoid arthritis	0.5658123603797791
31.0	angiotensin-converting enzyme inhibitors	hypertension	0.3410648250764642
31.0	capecitabine/fluorouracil	neoplasm/benign neoplasm	0.5636301160802093
31.0	protein-tyrosine kinase inhibitor	chronic myelogenous leukemia	0.2405892661654543
31.0	pharmaceutical preparations	complication	0.5736839063261711
31.0	pharmaceutical preparations	migraine	0.55743696165181
30.0	colchicine	familial mediterranean fever	0.2129894835785167
29.0	pharmaceutical preparations	diabetic	0.5926315563490021
29.0	pharmaceutical preparations	poisoning	0.4979889918081517
28.0	diuretics	congestive heart failure/heart failure	0.382174730609985
27.0	isoniazid	multidrug-resistant tuberculosis	0.2413779539594751
27.0	anticonvulsants	epilepsy	0.1952292343764528
27.0	antibiotics	nosocomial infection	0.3974952069396475
26.0	epidermal growth factor receptor inhibitor (product)	non-small cell lung carcinoma	0.2947584871556207
26.0	lithium	bipolar disorder	0.2175271064549787
25.0	adrenergic beta-antagonists/beta-adrenergic antagonist	hypertension	0.4136035519529765
25.0	antibiotics	septicemia	0.3591097774527795
25.0	streptomycin	mutant	0.4714924841162067
25.0	antidote	poisoning	0.4086337565833711
25.0	clindamycin	methicillin-resistant staphylococcus aureus infection	0.3648973852592446
25.0	pharmaceutical preparations	type ii diabetes mellitus/type 2 diabetes mellitus	0.5174219736424921
24.0	agonists	asthma	0.4383369716461208
23.0	cisplatin	cytotoxicity	0.3657773444521131
23.0	pharmaceutical preparations	schizophrenia	0.5383797101400843
23.0	antineoplastic agents	neoplasm/benign neoplasm	0.3494263235166749
23.0	cisplatin	ovarian carcinoma	0.3192940725514552
23.0	pharmaceutical preparations	virus diseases/viral infection	0.6447523970157696
23.0	pharmaceutical preparations	obesity	0.619534553220277
23.0	pharmaceutical preparations	hypertensive (finding)	0.5470476159832963
23.0	pharmaceutical preparations	atrial fibrillation	0.5941799409526157
23.0	antipsychotic agents/antipsychotic agent	psychosis	0.2228429111750017
23.0	atropine	contraction (finding)	0.352732173158828
23.0	antidepressive agents	symptom	0.5198661629305651
22.0	erythropoietin	anemia	0.2175076038505841
22.0	pharmaceutical preparations	dementia	0.6030129033700643
22.0	metformin	type ii diabetes mellitus/type 2 diabetes mellitus	0.3241961409962817
22.0	rifampin	multidrug-resistant tuberculosis	0.2823091341247286
22.0	hydroxyurea	polycythemia vera	0.2596541695695081
22.0	ampicillin/pivampicillin	meningitis	0.4219566527524179
22.0	clozapine	schizophrenia	0.3001546534717421
22.0	serotonin uptake inhibitors	depression	0.3742272783164514
22.0	antibiotics	infectious otitis media	0.422563743962866
22.0	levodopa	symptom	0.5872262322931531
21.0	antimalarials	malaria	0.1551253678760564
21.0	pharmaceutical preparations	arrhythmia	0.5837489488140601
21.0	cyclophosphamide	neoplasm/benign neoplasm	0.6153330407786249
21.0	antirheumatic agents	rheumatoid arthritis	0.2148104458712535
21.0	vancomycin	methicillin-resistant staphylococcus aureus infection	0.243691897413627
21.0	thioguanine	mutant	0.6211938936296675
21.0	tamoxifen	neoplasm/benign neoplasm	0.5989681073193824
21.0	pharmaceutical preparations	insomnia	0.5866785201497167
21.0	methicillin	methicillin-resistant staphylococcus aureus infection	0.3452432684237885
20.0	androgen antagonists	prostate cancer	0.2891873242889962
20.0	microbicides	pneumonia	0.3996357999509397
20.0	angiotensin-converting enzyme inhibitors	congestive heart failure/heart failure	0.3274876729525851
20.0	pharmaceutical preparations	covid-19	0.6564484148186931
20.0	temozolomide	glioblastoma	0.2017988497793004
20.0	pharmaceutical preparations	congestive heart failure/heart failure	0.5621912683385271
20.0	rifampin	mutant	0.603159659614865
19.0	levodopa	parkinsonism	0.2402925612344356
19.0	tetracycline	methicillin-resistant staphylococcus aureus infection	0.3625745970487987
19.0	antibiotics	complication	0.5351541127218288
19.0	anti-inflammatory agents, non-steroidal	symptom	0.567849474076668
19.0	pharmaceutical preparations	acute myeloid leukemia	0.6359731786497578
19.0	antibiotics	tuberculosis	0.5508552664308168
19.0	pharmaceutical preparations	acquired immunodeficiency syndrome/aids	0.5875478329291933
19.0	diuretics	congestive heart failure/heart failure	0.382174730609985
19.0	antibiotics	cystic fibrosis	0.447788546906087
19.0	pharmaceutical preparations	diabetes mellitus	0.5383007885353536
19.0	pharmaceutical preparations	multiple sclerosis	0.6047762517804435
19.0	paclitaxel	neoplasm/benign neoplasm	0.5690736103267938
18.0	antibiotics	diarrhea	0.4690797279452216
18.0	pharmaceutical preparations	major depressive disorder	0.5637697163529215
18.0	anticoagulant	atrial fibrillation	0.2501750756081773
18.0	amoxicillin	pneumonia	0.4910131825316907
18.0	hydroxyurea	sickle cell anemia	0.2757993540300608
18.0	chloramphenicol	meningitis	0.4446750818972675
17.0	pharmaceutical preparations	mental disorders/psychiatric disorder	0.5679054946514137
17.0	ciprofloxacin	methicillin-resistant staphylococcus aureus infection	0.4197331609669219
17.0	isoniazid	pulmonary tuberculosis	0.3400707602701276
17.0	gentamicin	methicillin-resistant staphylococcus aureus infection	0.4666700908418003
17.0	benzodiazepine/benzodiazepines	insomnia	0.3273786046838677
17.0	pharmaceutical preparations	cocaine dependence	0.5886145914471702
17.0	ciprofloxacin	mutant	0.5630338658496414
16.0	methylphenidate	attention deficit hyperactivity disorder	0.2372736034327366
16.0	laxatives	constipation	0.2154042080583307
16.0	pharmaceutical preparations	osteoporosis	0.5555481120369428
16.0	morphine	pain	0.4186635744894741
16.0	alteplase	stroke	0.3543478193672715
16.0	pharmaceutical preparations	breast cancer	0.584456350088657
16.0	antihypertensive agents/antihypertensive agent	hypertensive (finding)	0.2163687535347013
16.0	pharmaceutical preparations	cytotoxicity	0.5614725536436637
16.0	pharmaceutical preparations	pulmonary tuberculosis	0.6404968693274757
16.0	pharmaceutical preparations	chronic obstructive pulmonary disease	0.6162780739839145
16.0	anti-arrhythmia agents	sinus rhythm	0.3139752654756683
16.0	pharmaceutical preparations	ventricular tachycardia	0.6413407993155362
16.0	bortezomib	multiple myeloma	0.2196920849890506
15.0	anticholinergic agents	behavior showing increased motor activity/overactivity	0.3410480095601917
15.0	prednisolone	symptom	0.62508093273515
15.0	pharmaceutical preparations	need for isolation	0.7086001273556841
15.0	anti-arrhythmia agents	heart disease	0.4561188905535873
15.0	phenobarbital	epilepsy	0.4079478273687377
15.0	antibiotics	respiratory tract infections	0.3861003467357232
15.0	microbicides	methicillin-resistant staphylococcus aureus infection	0.4137575008304623
15.0	antibiotics	common cold	0.5855061430542492
15.0	ouabain	mutant	0.6805336932706477
15.0	dopamine agonists	prolactinoma	0.2682183193858381
15.0	cisplatin	non-small cell lung carcinoma	0.3311087311762803
15.0	pharmaceutical preparations	hiv infection	0.534825263586565
15.0	angiotensin-converting enzyme inhibitors	diabetic nephropathy	0.3170206704844738
15.0	antineoplastic agents	cancer	0.3677216460854968
15.0	capecitabine/fluorouracil	colorectal cancer	0.40564422280708
15.0	antibiotics	gonorrhea	0.5161889601478512
15.0	pharmaceutical preparations	malaria	0.5663569681889136
15.0	cisplatin	germ cell tumor	0.3527552310083769
15.0	vasoconstrictor agents	hypotension	0.317067884828237
15.0	ampicillin/pivampicillin	pneumonia	0.5361583312922019
15.0	atomoxetine	attention deficit hyperactivity disorder	0.3009585727994127
14.0	rituximab	non-hodgkin lymphoma	0.3465418016293908
14.0	acetaminophen	pain	0.4824872248075894
14.0	pharmaceutical preparations	osteoarthritis	0.6376739988757583
14.0	pharmaceutical preparations	pneumonia	0.6481296211600244
14.0	antitubercular agents	tuberculosis	0.1895213210343177
14.0	pharmaceutical preparations	melanoma	0.6443921022467699
14.0	antiepileptic agents	trigeminal neuralgia	0.4677313012919335
14.0	adrenergic beta-antagonists/beta-adrenergic antagonist	symptom	0.6176891888086097
14.0	bromocriptine	prolactinoma	0.1958445817547324
14.0	pharmaceutical preparations	multidrug-resistant tuberculosis	0.5365076349248649
14.0	ribavirin	cirrhosis/fibrosis	0.4419229390114521
14.0	antidote	poisoning	0.4086337565833711
14.0	hypnotics	insomnia	0.2594311846073023
14.0	phenytoin/fosphenytoin	epilepsy	0.3608004361053527
